domain|cc|testID
www.theperspective.org|LR|d49b85aa-a61d-4f87-92aa-d9826fad92bd
www.frontpageafricaonline.com|LR|949547e1-769d-413b-827d-73b5db22addb
www.frontpageafricaonline.com|LR|2b33f022-68fe-412c-9ff9-21c16046b410
www.frontpageafricaonline.com|LR|8ae9870f-dd1f-4c7b-b95d-e03ebd5018ed
www.frontpageafricaonline.com|LR|9e38601f-10c5-4ab0-9789-a6eac73611ce
www.frontpageafricaonline.com|LR|f9d9fefc-f6fe-49ba-a957-e5f6f48d13f3
www.frontpageafricaonline.com|LR|8c5407a9-950a-4ac4-9dc4-bfd72fbdd9ed
www.frontpageafricaonline.com|LR|bd71de94-6816-4329-9a62-c44da81a5aee
www.afrik53.com|CI|207abb7b-09b1-41a9-bcca-eb0e9f003b7a
www.afrik53.com|CI|7de1e44f-b591-4380-bec1-8e69e9ee8e42
www.afrik53.com|CI|8dc1d750-9ae9-4853-9de3-61207117ec22
www.ladepechedabidjan.info|CI|40baab24-c093-40cf-95b7-c02ec51392d2
www.atoo.ci|CI|947517a4-1511-4028-9ead-f44efcfd8d62
www.atoo.ci|CI|baba87d6-02ae-4299-9365-36e82841e59e
www.afrik53.com|CI|2e0a8d6b-6b8a-4404-8f50-7cc413af8e6e
www.afrik53.com|CI|55374239-e555-4aad-a501-64936209e21c
www.afrik53.com|CI|60787d7a-f27b-42f6-bbd7-51c503d37ad0
www.atoo.ci|CI|a2e72385-7b09-46a3-9400-bbf5bb3dc4aa
www.afrik53.com|CI|6eacc310-1e97-465f-8ce2-ad60bdc22e6d
www.atoo.ci|CI|2a3dc2e9-81c5-45bb-a79c-652c5ad64c45
www.atoo.ci|CI|66c9fad2-554c-4aeb-88e2-8270c79ec9c4
www.atoo.ci|CI|ba071985-f9dd-4963-94af-382384506f6e
www.atoo.ci|CI|54a31a4d-0481-49a0-b8f4-38eb48b2313a
www.alwihdainfo.com|TD|d4199172-5793-4d12-829e-0e1aaf7b52f0
www.alwihdainfo.com|TD|35d24fd5-617a-4b96-a251-74e9666ee786
xalimasn.com|SN|2119b5c6-8533-42d1-8ecc-ae3289f54364
www.senenews.com|SN|924dc6a7-d14b-4807-8f25-337d65a588d1
www.sen360.com|SN|fd0496ed-4ddd-41dc-81b2-56da7744dbfe
xalimasn.com|SN|65914040-8e8c-4340-b267-fb4211b175af
www.sen360.com|SN|5c119e73-3f3e-4fe1-9753-e7cdcb52e33c
xalimasn.com|SN|6a820553-0598-47ef-9e2b-e391ea57b46c
www.senenews.com|SN|1aebc61b-6c53-4542-82ec-32746c4d4572
www.sen360.com|SN|3a4a886d-6144-4c48-96ea-a6681341fc8c
xalimasn.com|SN|d582eebb-8f36-4863-87ea-a4902643a2d5
www.senenews.com|SN|345de5f5-fc44-451e-8973-1a60d3f5ed68
www.sen360.com|SN|cb9003ff-8450-45d5-bb02-313d55add1bb
www.sen360.com|SN|0a62bd45-240b-4db6-bb50-2bf6e4cfd570
xalimasn.com|SN|3163e6cf-67a8-4647-a208-aa732fbdb296
www.sen360.com|SN|b35afffd-1101-4657-9e69-82c170d892b4
www.arenebi.com|SN|600248b0-5186-404b-aa5a-2f25e0d4844a
www.cameroononline.org|CM|9a2b92b7-dcda-4928-9867-7d37e9fa83ac
www.cameroononline.org|CM|fb1c9fee-43ec-4a77-af1c-2ac546d1d716
www.cameroononline.org|CM|b231f2aa-f290-4901-8803-ed6cb7f1208a
www.cameroononline.org|CM|4f940ca0-ba98-43ba-b216-7b99481f366b
www.cameroononline.org|CM|2cc36170-39e4-4a9f-929e-2e4b41e27467
www.cameroononline.org|CM|4f781bd5-ed05-4dc9-ba4c-73ac5f4fa521
www.cameroononline.org|CM|57515019-5d6a-451b-9aa4-faea04757906
www.cameroononline.org|CM|5f15f587-3ff9-4b2f-9fe6-65588b8e8351
www.cameroononline.org|CM|7c7c05d5-2495-4884-a85e-ed2e265283e7
www.cameroononline.org|CM|b29f2872-97db-4e5e-877c-934c7a62bd2e
www.djibnet.com|DJ|64c55357-6574-4f98-80af-7c3769481479
www.djibnet.com|DJ|8db19e5f-5c5b-47b8-a911-7e0068f2550f
www.djibnet.com|DJ|268cd45c-cb20-4a51-93ba-3b6a40606f20
www.djibnet.com|DJ|f1737331-b1f2-4859-b670-33dc6d96555f
www.ethioobserver.net|ET|afdde73e-eaca-4b19-98a9-3a5d632dc59b
www.nazret.com|ET|e644aad3-eec9-47f9-aa24-3e2ee3974abb
www.newbusinessethiopia.com|ET|50479206-e70d-4f4b-8dc7-83983037c6f1
www.newbusinessethiopia.com|ET|ecbf9703-de2b-478a-8770-4897635ed642
www.nazret.com|ET|6a87e524-64d3-43f4-9dc9-d7daf55d5405
www.nazret.com|ET|2a7f035d-8300-45f5-88cb-b7f06c38b011
www.ethioobserver.net|ET|FAILED
www.nazret.com|ET|70d7ad71-4888-45d7-9ad2-b6e817ee5b90
www.newbusinessethiopia.com|ET|74a1b459-6608-4bf0-a4e8-94bbe5fd9026
www.newbusinessethiopia.com|ET|940544d9-5bf4-4363-b756-580545fcdeeb
www.newbusinessethiopia.com|ET|21e12333-b3be-4e15-b2cc-54277663bd11
www.newbusinessethiopia.com|ET|ea914e2e-98c4-4354-a598-1a8699b558ff
www.nazret.com|ET|054a606f-2ac0-401b-84f7-e4755f188efc
www.nazret.com|ET|6e7bb61d-2f5b-439b-a724-f0d618ccea67
www.nazret.com|ET|321cf61d-4756-46ee-bf7d-4c0dd335099a
www.focusinfos.net|TG|40e9e6fa-ebea-4f4e-b7af-5609fd60fe85
www.focusinfos.net|TG|ff732f0a-7bad-4968-95d9-3271a25641c8
www.focusinfos.net|TG|2d77de2f-6f1c-4474-b020-84e1149e3f52
www.focusinfos.net|TG|cfb28745-239c-4c04-bfaf-503fdfe54eb1
www.focusinfos.net|TG|b3efd483-04ce-49aa-a030-19d94cfa1588
www.focusinfos.net|TG|80124f7b-2395-4758-a491-8c814b0d9e2c
www.focusinfos.net|TG|ad874e5f-d837-411e-b9b4-8bb501c3b76b
www.focusinfos.net|TG|36d9aee9-b0cf-486e-8906-1f03ecf316a3
www.focusinfos.net|TG|53c86bf4-fc2c-4be6-b3ef-d47a423020bd
www.focusinfos.net|TG|88164208-56df-4467-aabe-3529fbc77205
www.gabonlibre.com|GA|1c809cc2-a0a6-4f54-9ff0-e9b5483362d6
