domain,cc,size_mobile,size_desktop
newtelegraphonline.com,NG,34300,34200
newzimbabwevision.com,ZW,70266,70266
ngex.com,NG,-1,-1
nhasimugweru.blogspot.com,ZW,43152,125619
nigerdiaspora.net,NE,224009,224009
nigeriaindependent.com,NG,27401,27401
nigerianbeacon.com,NG,205008,203381
nigerianinquirer.com,NG,10595,11020
nigeriannewsportal.com,NG,-1,-1
nigeriantimes.ng,NG,155596,207051
nigeriapoliticsonline.com,NG,203044,203216
nigeriastandardnewspaper.com,NG,586129,586128
northcliffmelvilletimes.co.za,ZA,128907,294438
northeasterntribune.co.za,ZA,109779,294245
northglennews.co.za,ZA,109408,288856
noticiasdonorte.publ.cv,CV,64739,64739
novagazeta.co.ao,AO,21726,21726
ntv.nation.co.ke,KE,39547,39547
observer.gm,GM,-1,-1
observer24.com.na,NA,86592,86592
ogavendor.com,NG,80132,100955
ontveg.com,EG,320487,320326
opais.co.ao,AO,85492,85494
ouest-info.org,DZ,134628,134628
owlpressonline.com,SL,-1,-1
patsakacommunityradio.org,ZW,97975,97942
peaceghana.com,GH,311,311
plentynews.com,NG,1442,1442
pointblanknews.com,NG,104899,104899
politicosl.com,SL,67031,67031
polokwaneexpress.co.za,ZA,101593,271022
ppbdi.com,BI,123230,122675
pulse.ng,NG,107860,146404
puntlandi.com,SO,145782,145782
puntlandnews24.com,SO,103046,103046
quotidienlemessager.net,CM,16485,27404
radiodemocracy.sl,SL,97259,97259
radiodespertarangola.net,AO,114346,114346
radiookapi.net,CD,61782,111495
radioonefm90.com,UG,44528,44528
radiotamazuj.org,SS,30192,30192
randburgsun.co.za,ZA,108373,282377
rasd.tv,EH,22309,26146
rc1023.fm,NG,-1,-1
realnewsmagazine.net,NG,110083,110083
rekordcenturion.co.za,ZA,123331,284396
rekordeast.co.za,ZA,109838,300597
reporters365.com,NG,257995,257995
reunion.la1ere.fr,RE,151869,151869
risingsunchatsworth.co.za,ZA,113047,287730
royaltimes.net,NG,78487,77960
rwandawire.com,RW,37271,37271
saharaoccidental.blogspot.com,EH,37970,93675
saharareporters.com,NG,175135,159861
salonepost.com,SL,-1,11652
salonetimespress.com,SL,-1,-1
sandtonchronicle.co.za,ZA,125782,296680
sandtonmag.co.za,ZA,48790,48790
sawt-alahrar.net,DZ,3335,873
sawtdjelfa.com,DZ,47209,164882
scannewsnigeria.com,NG,89664,89664
sdeconews.com,SD,-1,-1
sedibengster.com,ZA,63248,183572
semanarioeconomico.co.ao,AO,-1,-1
senego.com,SN,125606,125976
silverbirdtv.com,NG,148366,148390
sites.google.com,DZ,960115,934750
siyimbali.com,SZ,58413,58413
skygatenews.com,NG,-1,-1
slconcordtimes.com,SL,53408,53408
slpublicopinion.wordpress.com,SL,54648,57425
societynews.co.za,ZA,111,111
somaliaone.net,SO,112922,112922
somalilandpress.com,SO,67769,197751
sosanews.com,SS,31100,31590
source.co.zw,ZW,123548,123548
southafricatoday.net,ZA,57915,196735
southcoastherald.co.za,ZA,108385,284795
southcoastsun.co.za,ZA,118984,277586
southernafrican.news,NA,129805,128145
southlandssun.co.za,ZA,103266,270923
southsudaninfo.net,SS,-1,-1
southsudantoday.net,SS,5153,1104
southsudantribune.org,SS,46218,46218
sport.elkhabar.com,DZ,288586,288586
sport.ennaharonline.com,DZ,227756,227756
sportbrief.co.zw,ZW,203206,203206
spr.fm,SO,10933,19160
standardtimespress.org,SL,56534,56534
startvtz.com,TZ,31147,31151
stfrancischronicle.com,ZA,63270,54361
sthelenaonline.org,SH,110433,110433
suna-sd.net,SD,72570,72570
sundayexpress.co.ls,LS,101828,101828
sundayvani.intnet.mu,MU,-1,-1
sunnewsonline.com,NG,134223,134223
tabloidmedia.co.za,ZA,-1,-1
tahrirnews.com,EG,177848,177848
tchadinfos.com,TD,153097,153097
tchadonline.com,TD,7975,7975
tdailynews.net,TN,-1,-1
telquel.ma,MA,242605,148574
theabujatimes.com,NG,195681,195463
theadvocatengr.com,NG,82392,82392
thebftonline.com,GH,33877,33879
thechronicle.com.gh,GH,-1,-1
thecitizenng.com,NG,181787,181796
theeagleonline.com.ng,NG,177170,177170
theglobenewspaper.blogspot.com,ZM,22880,286529
theheraldghana.com,GH,42966,42966
theinfrastructurenewsng.com,NG,327,327
theinsider.ug,UG,172770,172770
theinvestigatornews.com,UG,57436,261270
thelead.com.ng,NG,-1,-1
theliberiandialogue.org,LR,58511,58511
theliberiantimes.weebly.com,LR,17534,17534
thenationonlineng.net,NG,130391,112095
theneighbourhoodonline.com,NG,283426,283471
thenewcrusadingguideonline.com,GH,141777,141777
thenewrisingsun.net,SL,28734,28734
thenews-chronicle.com,NG,87989,87977
thenewsscript.com,GH,-1,-1
thepeoplesvoice.org.zw,ZW,83539,83539
thepoint.gm,GM,8418,8418
thepointernewsonline.com,NG,150719,150721
therainbow.com.ng,NG,32342,32342
thesoutherndaily.co.zw,ZW,92642,93207
thesummary.com.ng,NG,46455,47264
theweekendpost.com,ZA,2709,2709
theweeklyadvertiser.com,KE,26636,26637
thewillnigeria.com,NG,154503,154503
thezimbabwemail.com,ZW,374925,374925
tig.asmarino.com,ER,87821,125272
timesmediamw.com,MW,192809,192809
togozine.com,TG,322743,322177
tpa.sapo.ao,AO,145868,145729
trends.ng,NG,-1,-1
tv3network.com,GH,126395,126388
tvt.tg,TG,101396,101356
tvwest.co.ug,UG,171920,171601
ubc.ug,UG,61027,143110
ugandaradionetwork.com,UG,142892,142892
ukzambians.co.uk,ZM,40356,71355
upperniletimes.net,SS,76,76
urhobotoday.com,NG,124556,124556
vibeghana.com,GH,93785,93785
victoriafalls24.com,ZW,215007,215483
wakteldjazair.com,DZ,203661,203661
watchdog.co.ug,UG,-1,-1
weekly.ahram.org.eg,EG,59804,59804
wn.com,GH,350913,350913
worldstagegroup.com,NG,589,589
wpost.co,NG,780,780
wsrw.org,EH,31156,66274
