domain,name,cc,region,type,category,language,comment,geoloc_cc,geoloc_city,traceloc_cc,traceloc_city,size_mobile,size_desktop
ewn.co.za,Eye Witness News,ZA,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
exame.co.ao,Exame,AO,National,MG,BU,POR,,NULL,NULL,NULL,NULL,NULL,NULL
exposeghana.com,Expose Ghana,GH,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
expressng.com,Entertainment Express,NG,Nationwide,IN,EN,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
eyeradio.org,Eye Radio,SS,National,BC,GI,ENG,Radio,NULL,NULL,NULL,NULL,NULL,NULL
faso-actu.net,Faso Actu,BF,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
financenews.press.ma,Finances News Hebdo,MA,Casablanca,NP,BU,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
flashpointnews.wordpress.com,Flashpoint News,NG,Asaba,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
focus.rw,Rwanda Focus,RW,Kigali,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
foroyaa.gm,Foroyaa,GM,Banjul,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
fourwaysreview.co.za,Fourways Review,ZA,Fourways,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
fr.alakhbar.info,Alakhbar,MR,National,PA,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
gabonreview.com,Gabon Review,GA,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
gainako.com,Gainako News,GM,Foreign,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
germinalnewspaper.com,Germinal,CM,Yaounde,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
germistoncitynews.co.za,Germiston City News,ZA,Germiston,NP,GI,ENG,Also AFR,NULL,NULL,NULL,NULL,NULL,NULL
ghanaianlens.com,Ghanaian Lens,GH,Accra,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
ghananewslink.com,Ghana News Link,GH,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
ghananewsportal.com,Ghana News Portal,GH,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
ghheadlines.com,GH Headlines,GH,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
gistyinka.net,Gistyinka Blog,NG,Nationwide,IN,EN,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
globalvillageextra.com,Global Village Extra,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
gloryfm.com,Glory FM,NG,Yenagoa,BC,GI,ENG,Radio,NULL,NULL,NULL,NULL,NULL,NULL
gnnliberia.com,GNN Liberia,LR,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
goldenpennewspaper.blogspot.com,Golden Pen,NG,Yenagoa,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
graphic.com.gh,Daily Graphic,GH,National,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
guinea-forum.org,Guinea Forum,GQ,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
