domain,name,cc,region,type,category,language,comment,geoloc_cc,geoloc_city,traceloc_cc,traceloc_city,size_mobile,size_desktop
www.africatoday.co.ao,Africa Today,AO,National,MG,GI,POR,,NULL,NULL,NULL,NULL,NULL,NULL
www.afrik53.com,Afrik 53,CI,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.afrol.com,Afrol Somaliland,SO,Hargeisa,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.agpgabon.ga,Agence Gabonaise de Presse,GA,National,PA,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.ahdath.info,Al Ahdath Al Maghribia,MA,Casablanca,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.ahram.org.eg,Al Ahram,EG,National,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.aib.bf,Agence d'Information du Burkina,BF,National,PA,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.aip.ci,Agence Ivoirienne de Presse,CI,National,PA,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.akaboozi.fm,Akaboozi,UG,Kampala,BC,GI,LUG,Radio Also ENG,NULL,NULL,NULL,NULL,NULL,NULL
www.akhbaralyoumsd.net,Akhbar Al Youm,SD,Khartoum,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.akhbarelyoum.dz,Akhbar El Youm,DZ,Alger,NP,GI,ARA,Islam,NULL,NULL,NULL,NULL,NULL,NULL
www.akhbarlibya24.net,Akhbar Libya 24,LY,Nationwide,PA,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.akhersaa-dz.com,Akher Saa,DZ,Alger,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.akwaibomnewsonline.com,Akwa Ibom News Online,NG,Uyo,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.al-fadjr.com,Al Fadjr,DZ,Alger,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.al-jarida.net,Al Jarida Al Maghribia,MA,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.alakhbar.info,Alakhbar,MR,National,PA,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.alalam.ma,Al Alam,MA,National,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.alaroyeonline.com,Alaroye,NG,Lagos,NP,GI,YOR,,NULL,NULL,NULL,NULL,NULL,NULL
www.alayaam.net,Al Ayaam,SD,National,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.albassair.org,Al Bassair,DZ,Alger,NP,RL,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.alchourouk.com,Al Chourouk,TN,Tunis,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.alenalki.com,Alenalki,ER,National,IN,GI,TIG,Also ENG,NULL,NULL,NULL,NULL,NULL,NULL
www.alfa.cv,Alfa Comunicacoes,CV,Nationwide,IN,GI,POR,,NULL,NULL,NULL,NULL,NULL,NULL
www.alger-info.com,Alger Info,DZ,Alger,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.alger-republicain.com,Alger Republicain,DZ,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.algerep.com,Alger Republicain,DZ,National,IN,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.algeria-newspapers.com,Algeria Newspapers,DZ,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.algeria-watch.org,Algeria Watch,DZ,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.algeriabusinessinfo.com,Algeria Business Info,DZ,National,IN,BU,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.algeriatimes.net,Algeria Times,DZ,National,IN,GI,ARA,Site 1,NULL,NULL,NULL,NULL,NULL,NULL
www.algerie-focus.com,Algerie Focus,DZ,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.algerie1.com,Algerie 1,DZ,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.algerie360.com,Algerie 360,DZ,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.algerieconfluences.com,Algerie Confluences,DZ,Alger,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.algeriepatriotique.com,Algerie Patriotique,DZ,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.algomhuria.net.eg,Al Gomhuria,EG,National,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.allghananews.com,All Ghana News,GH,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.allnigeriasoccer.com,All Nigeria Soccer,NG,Nationwide,IN,SP,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.allpuntland.com,All Puntland,SO,Garowe,IN,GI,SOM,,NULL,NULL,NULL,NULL,NULL,NULL
www.allsomali.com,All Somali,SO,Foreign,IN,GI,SOM,Also ENG,NULL,NULL,NULL,NULL,NULL,NULL
www.almaghribia.ma,Assahra Al Maghribia,MA,Casablanca,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.almasryalyoum.com,Al Masry Al Youm,EG,Cairo,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.almassaepress.com,Al Massae,MA,National,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.almessa.net.eg,Al Messa,EG,National,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.almizan.info,Al Mizan,NG,Kaduna,NP,GI,HAU,Radio,NULL,NULL,NULL,NULL,NULL,NULL
www.almshaheer.com,Al Mshaheer,SD,Khartoum,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.alome.com,A Lome,TG,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.alqarn.dj,Al Qarn,DJ,National,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.alrakoba.net,Al Rakoba,SD,National,IN,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.alsahafa.info,Al Sahafa,SD,Khartoum,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.alsudani.net,Al Sudani,SD,Khartoum,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.alwafd.org,Al Wafd,EG,National,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.alwaslonline.com,Al Wasl,DZ,Oran,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.alwatanalarabi.com,Al Watan Al Arabi,EG,National,MG,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.alwatwan.net,Al Watwan,KM,Nationwide,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.alwihdainfo.com,Al Wihda,TD,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.amalawi.info,Amalawi,MW,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.ami.mr,Chaab,MR,National,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.angola24.net,Angola 24,AO,National,IN,GI,POR,,NULL,NULL,NULL,NULL,NULL,NULL
www.angola24horas.com,Angola 24 Horas,AO,National,IN,GI,POR,,NULL,NULL,NULL,NULL,NULL,NULL
www.angolaglobal.net,Angola Global,AO,National,IN,GI,POR,,NULL,NULL,NULL,NULL,NULL,NULL
www.angolamonitor.co.ao,Angola Monitor,AO,National,IN,GI,ENG,Site 2,NULL,NULL,NULL,NULL,NULL,NULL
www.angonoticias.com,Ango Noticias,AO,National,IN,GI,POR,,NULL,NULL,NULL,NULL,NULL,NULL
www.ann7.com,ANN7,ZA,National,BC,GI,ENG,TV,NULL,NULL,NULL,NULL,NULL,NULL
www.annabacity.net,Annaba City,DZ,Annaba,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.annasronline.com,An Nasr,DZ,Constantine,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.antennereunion.fr,Antenne Reunion,RE,National,BC,GI,FRA,TV,NULL,NULL,NULL,NULL,NULL,NULL
www.aouaga.com,A Ouaga,BF,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.apctimes.com,All Peoples Communication,SL,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.aproko247.com,Aproko 247,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.aps.dz,Algerie Presse Service,DZ,National,PA,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.aps.sn,Agence de Presse Senegalaise,SN,Nationwide,PA,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.arenebi.com,Arenebi,SN,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.arewaonline-ng.com,Arewa Online,NG,Nationwide,IN,GI,ENG,Covers Northern,NULL,NULL,NULL,NULL,NULL,NULL
www.arib.info,ARIB,BI,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.arushatimes.co.tz,Arusha Times,TZ,Arusha,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.ascension-island.gov.ac,Ascension Island,SH,Georgetown,IN,GO,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.asdae.com,Asdae,MA,Rabat,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.asmarino.com,Asmarino,ER,Foreign,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.assabah.com.tn,Assabah,TN,National,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.assabah.press.ma,Assabah,MA,National,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.atoo.ci,Atoo,CI,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.attounissia.com.tn,Attounissia,TN,Tunis,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.au-senegal.com,Au Senegal,SN,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.aufait.ma,Au Fait,MA,Casablanca,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.aujourdhui-en-guinee.com,Aujourd'hui en Guinee,GQ,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.aujourdhui.ma,Aujourd'hui Le Maroc,MA,Casablanca,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.autrequotidien.com,L'Autre Quotidien,BJ,Cotonou,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.awrambatimes.com,Awramba Times,ET,Foreign,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.az.com.na,Allgemeine Zeitung,NA,Windhoek,NP,GI,DEU,,NULL,NULL,NULL,NULL,NULL,NULL
www.b-metro.co.zw,B Metro,ZW,Bulawayo,NP,GI,ENG,Radio,NULL,NULL,NULL,NULL,NULL,NULL
www.babnet.net,Babnet Tunisie,TN,National,IN,GI,FRA,Also ARA,NULL,NULL,NULL,NULL,NULL,NULL
www.bakhitaradio.org,Radio Bakhita,SS,National,BC,GI,ENG,Radio,NULL,NULL,NULL,NULL,NULL,NULL
www.ballito-fever.co.za,Ballito Fever,ZA,Ballito,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.ballitonews.co.za,Ballito News,ZA,Ballito,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.banadir.com,Banadir,SO,Foreign,IN,GI,ENG,Also SOM,NULL,NULL,NULL,NULL,NULL,NULL
www.banjulfocus.com,Banjul Focus,GM,Foreign,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.bdlive.co.za,Business Day,ZA,Johannesburg,NP,BU,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.beeld.com,Beeld,ZA,Johannesburg,NP,GI,AFR,,NULL,NULL,NULL,NULL,NULL,NULL
www.bejaiainfo.com,Bejaia Info,DZ,Bejaia,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.bellanaija.com,Bella Naija,NG,Nationwide,IN,EN,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.benin24tv.com,Benin 24 TV,BJ,National,BC,GI,FRA,Radio TV,NULL,NULL,NULL,NULL,NULL,NULL
www.benininfo.com,Benin Info,BJ,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.bh24.co.zw,BH24,ZW,National,IN,BU,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.bignigeria.com,Big Nigeria,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.bissaudigital.com,Bissau Digital,GW,National,IN,GI,POR,,NULL,NULL,NULL,NULL,NULL,NULL
www.bizday.co.zw,Biz Day,ZW,National,IN,BU,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.blida-aps.dz,Blida APS,DZ,Blida,PA,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.blueprint.ng,Blueprint,NG,Abuja,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.bonaberi.com,Bonaberi,CM,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.bonesha.bi,Bonesha FM,BI,Nationwide,BC,GI,FRA,Radio,NULL,NULL,NULL,NULL,NULL,NULL
www.bordj.info,Bord Bou Arreridj Info,DZ,Bordj Bou Arreridj,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.bordj.net,Bord Bou Arreridj Info,DZ,Bordj Bou Arreridj,IN,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.botswanaguardian.co.bw,Botswana Guardian,BW,Gaborone,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.bravanews.com,Brava News,CV,Vila Nova Sintra,IN,GI,POR,,NULL,NULL,NULL,NULL,NULL,NULL
www.breede.com,Standard,ZA,Worcester,NP,GI,AFR,Also ENG,NULL,NULL,NULL,NULL,NULL,NULL
www.brnieq.com,Brnieq,LY,Benghazi,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.bugandawatch.com,Buganda Watch,UG,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.bujumbura.be,Agence Bujumbura News,BI,Nationwide,PA,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.bukedde.co.ug,Bukedde,UG,Kampala,NP,GI,LUG,,NULL,NULL,NULL,NULL,NULL,NULL
www.burkina24.com,Burkina 24,BF,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.burundi-info.com,Burundi Information,BI,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.burundi-sites.com,Burundi Sites,BI,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.burundi.gov.bi,Gouvernement du Burundi,BI,Nationwide,IN,GO,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.burundirealite.org,Burundi Realites,BI,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.bushchicken.com,Bush Chicken,LR,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.business-et-finances.com,Business et Finances,CD,Kinshasa,NP,BU,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.businessdaily.co.zw,Business Daily,ZW,National,IN,BU,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.businessdailyafrica.com,Business Daily,KE,Nairobi,NP,BU,ENG,Radio,NULL,NULL,NULL,NULL,NULL,NULL
www.businessdaytv.co.za,Business Day TV,ZA,National,BC,GI,ENG,TV,NULL,NULL,NULL,NULL,NULL,NULL
www.businessghana.com,Business Ghana,GH,National,BU,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.businesstimes.co.tz,Business Times,TZ,Dar es Salaam,NP,BU,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.businesstodayegypt.com,Business Today Egypt,EG,Cairo,NP,BU,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.businessweekly.co.bw,Business Weekly and Review,BW,Gaborone,NP,BU,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.busiweek.com,East African Business Week,UG,Kampala,NP,BU,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.cabindanation.net,Cabinda Nation Press,AO,Cabinda,IN,GI,POR,A,NULL,NULL,NULL,NULL,NULL,NULL
www.cabodiario.com,Cabo Diario,CV,Nationwide,IN,GI,POR,,NULL,NULL,NULL,NULL,NULL,NULL
www.caboverdeonline.com,Cabo Verde Online,CV,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.cairolive.com,Cairo Live,EG,Cairo,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.cairotimes.com,Cairo Times,EG,Cairo,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.camer.be,Camer,CM,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.cameroon-info.net,Cameroon Info,CM,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.cameroon-tribune.cm,Cameroon Tribune,CM,Nationwide,NP,GI,FRA,Also ENG,NULL,NULL,NULL,NULL,NULL,NULL
www.cameroononline.org,Cameroon Online,CM,Nationwide,IN,GI,ENG,Also FRA,NULL,NULL,NULL,NULL,NULL,NULL
www.cameroonpostline.com,Cameroon Post,CM,Buea,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.cameroonweb.com,Cameroon Web,CM,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.cameroun-online.com,Cameroun Online,CM,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.cameroun24.net,Cameroun 24,CM,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.camerounactu.net,Cameroun Actu,CM,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.camerounlink.net,Cameroun Link,CM,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.camerpost.com,Camer Post,CM,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.camnews24.com,Cam News 24,CM,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.canalmoz.com,Canal de Mocambique,MZ,National,IN,GI,POR,,NULL,NULL,NULL,NULL,NULL,NULL
www.capetalk.co.za,Cape Talk,ZA,Cape Town,BC,GI,ENG,Radio,NULL,NULL,NULL,NULL,NULL,NULL
www.capitaleritrea.com,Capital Eritrea,ER,Foreign,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.capitalethiopia.com,Capital,ET,Addis Ababa,NP,BU,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.capitalfm.co.ke,Capital FM,KE,Nairobi,BC,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.capitalradiomalawi.com,Capital FM,MW,Blantyre,BC,GI,ENG,Radio,NULL,NULL,NULL,NULL,NULL,NULL
www.carletonvilleherald.com,Carletonville Fochville Herald,ZA,Carletonville,NP,GI,AFR,Also ENG,NULL,NULL,NULL,NULL,NULL,NULL
www.carrefourdalgerie.com,Le Carrefour d'Algerie,DZ,Oran,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.cbc-eg.com,CBC,EG,National,BC,GI,ARA,TV,NULL,NULL,NULL,NULL,NULL,NULL
www.cbn.co.za,Cape Business News,ZA,Cape Town,NP,BU,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.ceelqaboobe.com,Ceel Qaboobe,SO,Foreign,IN,GI,SOM,,NULL,NULL,NULL,NULL,NULL,NULL
www.cefib.com,CEFIB,ML,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.centrafrique-presse.info,Centrafrique Presse Info,CF,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.centrafriquelibre.info,Centrafrique Libre,CF,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.channelafrica.co.za,Channel Africa,ZA,National,BC,GI,ENG,Radio,NULL,NULL,NULL,NULL,NULL,NULL
www.channelstv.com,Channels TV,NG,Nationwide,BC,GI,ENG,TV,NULL,NULL,NULL,NULL,NULL,NULL
www.channelzim.net,Channel Zim,ZW,National,BC,GI,ENG,Radio,NULL,NULL,NULL,NULL,NULL,NULL
www.chikuniradiozm.org,Radio Chikuni,ZM,Chikuni Mission,BC,GI,ENG,Radio,NULL,NULL,NULL,NULL,NULL,NULL
www.chimpreports.com,Chimp Reports,UG,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.chronicle.co.zw,Chronicle,ZW,Bulawayo,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.citifmonline.com,Citi FM,GH,Accra,BC,GI,ENG,Radio,NULL,NULL,NULL,NULL,NULL,NULL
www.citizentv.co.ke,Citizen TV,KE,National,BC,GI,ENG,TV,NULL,NULL,NULL,NULL,NULL,NULL
www.citypress.co.za,City Press,ZA,National,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.cknnigeria.com,CKN Nigeria,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.clicanoo.re,Le Journal de L'Ile,RE,National,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.club-k.net,Club K,AO,National,IN,GI,POR,,NULL,NULL,NULL,NULL,NULL,NULL
www.coastweek.com,Coastweek,KE,Mombasa,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.comores-actualites.com,Comores Actualites,KM,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.comores-infos.net,Comores Infos,KM,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.comores-web.com,Comores Web,KM,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.comoresonline.net,Comores Online,KM,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.competition.dz,Competition,DZ,Alger,NP,SP,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.conakryonline.com,Conakry Online,GQ,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.confidente.com.na,Confidente,NA,Windhoek,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.congo-site.com,Congo Site,CG,Foreign,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.congo24.net,Congo 24,CD,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.congoindependant.com,Congo Independant,CD,Foreign,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.congojet.com,Congo Jet,CD,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.congolais.fr,Congolais,CD,Foreign,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.congonline.com,Congonline,CD,Foreign,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.congopage.com,Congo Page,CG,Foreign,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.congoplanet.com,Congo Planet,CD,Foreign,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.congoplanete.com,Congo Planete,CD,Foreign,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.congotribune.com,Congo Tribune,CD,Foreign,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.congovision.com,Congo Vision,CD,Foreign,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.connectionivoirienne.net,Connection Ivoirienne,CI,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.constantine-aps.dz,Constantine APS,DZ,Constantine,PA,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.corcas.com,Corcas,EH,National,IN,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
www.cote-d-ivoire.info,Cote d Ivoire,CI,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.cote-d-ivoire.net,Cote d'Ivoire,CI,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.cottontreenews.org,Cotton Tree,SL,Freetown,BC,GI,ENG,Radio,NULL,NULL,NULL,NULL,NULL,NULL
www.courriercasablanca.com,Le Courrier de Casablanca,MA,Casablanca,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.courrierconfidentiel.net,Courrier Confidentiel,BF,Ouagadougou,NP,GI,FRA,Radio,NULL,NULL,NULL,NULL,NULL,NULL
www.cridem.org,Cridem,MR,Foreign,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.critiqueecho.com,Critique Echo Newspaper,SL,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.cxpress.co.za,CXpress,ZA,Plettenberg Bay,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.cyberethiopia.com,Cyber Ethiopia,ET,Foreign,IN,GI,ENG,Also AMH,NULL,NULL,NULL,NULL,NULL,NULL
www.dac-presse.com,DAC,CG,Foreign,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.daily-mail.co.zm,Zambia Daily Mail,ZM,National,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.dailyguideghana.com,Daily Guide,GH,Accra,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.dailyheritageonline.com,Daily Heritage,GH,Accra,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.dailymaverick.co.za,Daily Maverick,ZA,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.dailynation.news,Daily Nation,ZM,National,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.dailynews.co.tz,Daily News,TZ,Dar es Salaam,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.dailynews.co.zw,Daily News,ZW,National,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.dailynews.gov.bw,Daily News,BW,Nationwide,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.dailynewsegypt.com,Daily News Egypt,EG,Cairo,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.dailytimes.com.ng,Daily Times,NG,Lagos,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.dailytrust.com.ng,Daily Trust,NG,Nationwide,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
www.dakar-info.com,Dakar Info,SN,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.dakaractu.com,Dakar Actu,SN,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.deboutcongolais.info,Debout Congolais,CD,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
www.defimedia.info,Defi Media,MU,National,IN,GI,FRA,Also ENG,NULL,NULL,NULL,NULL,NULL,NULL
