"domain","name","cc","region","type","category","language","comment","geoloc_cc",size_mobile,size_desktop
"moroccomedia.com","Morocco Media","MA","National","IN","GI","ENG","","US-UT",74403,74403
"mtanzania.co.tz","Mtanzania","TZ","Dar es Salaam","NP","GI","SWA","","CA-QC",77564,77565
"mthathaexpress.co.za","Mthatha Express","ZA","Mthatha","NP","GI","ENG","","ZA",61008,112474
"mubasher-misr.aljazeera.net","Al Jazeera Mubasher Misr","EG","National","BC","GI","ARA","TV","DE",120469,120469
"mutationsbf.net","Mutations","BF","Ouagadougou","NP","GI","FRA","","NL",2424,293
"mzalendo.net","Mzalendo","TZ","Zanzibar","IN","GI","SWA","","US-MI",96814,96742
"naijabizcom.com","Naija Biz","NG","Nationwide","IN","BU","ENG","","US-CA",58683,58683
"nationalmirroronline.net","National Mirror","NG","Lagos","NP","GI","ENG","","US-WA",58417,68071
"nbs.ug","NBS","UG","National","BC","GI","ENG","TV","US-CA",211969,211969
"nehandaradio.com","Nehanda Radio","ZW","National","BC","GI","ENG","Radio","US",177984,177037
"nehandatv.com","Nehanda TV","ZW","National","BC","GI","ENG","TV","US",88381,88401
"new.elfagr.org","El Fagr","EG","Cairo","NP","GI","ARA","","US",124242,124242
"newcastleadvertiser.co.za","Newcastle Advertiser","ZA","Newcastle","NP","GI","ENG","","US",110744,288589
"newctzen.com","New Citizen","SL","Freetown","NP","GI","ENG","","GB",62872,69751
"newmail-ng.com","New Mail","NG","Nationwide","IN","GI","ENG","","US-KS",267409,267409
"news.aniamey.com","A Niamey","NE","National","IN","GI","FRA","","US",95470,95470
"news.bestnaira.com","Best Naira News","NG","Nationwide","IN","GI","ENG","","US",20327,20623
"news.google.com","Google","BW","Nationwide","IN","GI","ENG","","US-CA",593376,1082056
"news.google.com","Google","EG","National","IN","GI","ARA","","US-CA",503520,1112625
"news.google.com","Google","ET","National","IN","GI","ENG","","US-CA",595199,1118710
"news.google.com","Google","GH","National","IN","GI","ENG","","US-CA",591426,1114829
"news.google.com","Google","KE","National","IN","GI","ENG","","US-CA",594284,1120888
"news.google.com","Google","MA","National","IN","GI","FRA","","US-CA",596419,1121778
"news.google.com","Google","NA","National","IN","GI","ENG","","US-CA",593760,1123564
"news.google.com","Google","NG","Nationwide","IN","GI","ENG","","US-CA",595311,1124045
"news.google.com","Google","SN","Nationwide","IN","GI","FRA","","US-CA",593488,1116160
"news.google.com","Google","TZ","National","IN","GI","ENG","","US-CA",593301,1117385
"news.google.com","Google","UG","National","IN","GI","ENG","","US-CA",595205,1119079
"news.google.com","Google","ZA","National","IN","GI","ENG","","US-CA",593287,1118327
"news.google.com","Google","ZW","National","IN","GI","ENG","","US-CA",598860,1104771
"news.maraviexpress.com","Maravi Express","MW","National","IN","GI","ENG","","GB",154743,154743
"news.sudanvisiondaily.com","Sudan Vision","SD","Khartoum","NP","GI","ENG","","US-WA",6907,6371
"newsdayngonline.com","Newsday","NG","Abuja","NP","GI","ENG","","US-AZ",319,319
"newsdiaryonline.com","News Diary Online","NG","Nationwide","IN","GI","ENG","","US",289548,289548
"newsducamer.com","News du Camer","CM","Nationwide","IN","GI","FRA","","US-AZ",198100,172855
"newsinlibya.com","Libya News","LY","Nationwide","IN","GI","ENG","","AU",2744,2722
"newsinvestigatorsng.com","News Investigators Nigeria","NG","Nationwide","IN","GI","ENG","","CA-QC",88093,88093
"newslexpoint.com","Newslex Point","UG","National","IN","GI","ENG","","GB",366603,368540
"newsly.ma","Newsly","MA","National","IN","GI","ARA","","FR",38216,38216
"newsofthesouth.com","News of the South","ZW","National","IN","GI","ENG","","GB",69050,69050
"newsvyb.com","News Vyb","ZW","National","IN","GI","ENG","","US-WA",10531,10531
"newtelegraphonline.com","New Telegraph","NG","Nationwide","IN","GI","ENG","","US-UT",34300,34200
"newzimbabwevision.com","New Zimbabwe Vision","ZW","National","IN","GI","ENG","","DE",70266,70266
"ngex.com","Ng EX","NG","Nationwide","IN","GI","ENG","","US-IL",85980,85829
"nhasimugweru.blogspot.com","Gweru Today","ZW","Gweru","IN","GI","ENG","","US-CA",43152,125619
"nigerdiaspora.net","Niger Diaspora","NE","National","IN","GI","FRA","","US",224009,224009
"nigeriaindependent.com","Nigeria Independent","NG","Nationwide","IN","GI","ENG","","US-TX",27401,27401
"nigerianbeacon.com","Nigerian Beacon","NG","Nationwide","IN","GI","ENG","","US",205008,203381
"nigerianinquirer.com","Nigerian Inquirer","NG","Nationwide","IN","GI","ENG","","DE",10595,11020
"nigeriantimes.ng","Nigerian Times","NG","Nationwide","IN","GI","ENG","","US-AZ",155596,207051
