"domain","cc","geoloc_cc",size_mobile,"price1gb","price_mobile",size_desktop,"price_desktop"
"www.mediacongo.net","CD","CH",64079,"20.0000","0.0012",64430,"0.0012"
"abangui.com","CF","US",52725,"12.5699","0.0006",52725,"0.0006"
"centrafrique-presse.over-blog.com","CF","FR",89677,"12.5699","0.0010",249408,"0.0029"
"www.journaldebangui.com","CF","FR",82267,"12.5699","0.0010",82267,"0.0010"
"www.lanouvellecentrafrique.info","CF","US",301264,"12.5699","0.0035",301264,"0.0035"
"www.radiondekeluka.org","CF","CH",35463,"12.5699","0.0004",35463,"0.0004"
"congo-liberty.com","CG","US",29181,"11.2231","0.0003",105744,"0.0011"
"www.adiac-congo.com","CG","FR",98901,"11.2231","0.0010",98901,"0.0010"
"www.congo-site.com","CG","FR",25514,"11.2231","0.0003",49687,"0.0005"
"www.congopage.com","CG","US",65735,"11.2231","0.0007",65735,"0.0007"
"www.dac-presse.com","CG","DE",123095,"11.2231","0.0013",123095,"0.0013"
"www.journaldebrazza.com","CG","FR",200319,"11.2231","0.0021",200319,"0.0021"
"www.lasemaineafricaine.net","CG","FR",48576,"11.2231","0.0005",48670,"0.0005"
"www.lesdepechesdebrazzaville.fr","CG","FR",49086,"11.2231","0.0005",49086,"0.0005"
"www.starducongo.com","CG","FR",303044,"11.2231","0.0032",303020,"0.0032"
"www.zenga-mambu.com","CG","CH",149285,"11.2231","0.0016",149285,"0.0016"
"abidjantv.net","CI","CA",357685,"12.9735","0.0043",357678,"0.0043"
"www.abidjan.net","CI","US",101115,"12.9735","0.0012",101115,"0.0012"
"www.afrik53.com","CI","FR",153512,"12.9735","0.0019",153512,"0.0019"
"www.aip.ci","CI","FR",127603,"12.9735","0.0015",127603,"0.0015"
"www.atoo.ci","CI","FR",150504,"12.9735","0.0018",150597,"0.0018"
"www.connectionivoirienne.net","CI","NL",107725,"12.9735","0.0013",107725,"0.0013"
"www.fratmat.info","CI","US",80806,"12.9735","0.0010",80918,"0.0010"
"www.gbich.com","CI","FR",51389,"12.9735","0.0006",51585,"0.0006"
"www.imatin.net","CI","DE",154889,"12.9735","0.0019",241878,"0.0029"
"www.ivoireactu.net","CI","FR",68777,"12.9735","0.0008",68777,"0.0008"
"www.ivoirediaspo.net","CI","GB",86410,"12.9735","0.0010",86412,"0.0010"
"www.ladepechedabidjan.info","CI","FR",144692,"12.9735","0.0017",143720,"0.0017"
"www.lenouveaureveil.com","CI","US",14759,"12.9735","0.0002",14759,"0.0002"
"www.lepatriote.net","CI","US",59131,"12.9735","0.0007",59131,"0.0007"
"www.linfodrome.com","CI","FR",308479,"12.9735","0.0037",314121,"0.0038"
"www.notrevoie.com","CI","US",35495,"12.9735","0.0004",35495,"0.0004"
"www.rti.ci","CI","FR",7312,"12.9735","0.0001",7312,"0.0001"
"www.rumeursdabidjan.net","CI","FR",68432,"12.9735","0.0008",68432,"0.0008"
"www.sport-ivoire.ci","CI","US",116705,"12.9735","0.0014",116705,"0.0014"
"bamendaonline.net","CM","US",6857,"9.4274","0.0001",6495,"0.0001"
"cameroonjournal.com","CM","US",146892,"9.4274","0.0013",146892,"0.0013"
"cameroonwebnews.com","CM","US",11783,"9.4274","0.0001",11783,"0.0001"
"crtv.cm","CM","CM",403686,"9.4274","0.0035",403686,"0.0035"
"edennewspaper.org","CM","AU",63105,"9.4274","0.0006",69984,"0.0006"
"journal.rdpcpdm.cm","CM","US",275662,"9.4274","0.0024",275662,"0.0024"
"newsducamer.com","CM","US",198100,"9.4274","0.0017",172855,"0.0015"
"quotidienlemessager.net","CM","US",16485,"9.4274","0.0001",27404,"0.0002"
"www.africapresse.com","CM","US",108044,"9.4274","0.0009",108044,"0.0009"
"www.bonaberi.com","CM","FR",107004,"9.4274","0.0009",106997,"0.0009"
"www.camer.be","CM","DE",317032,"9.4274","0.0028",317056,"0.0028"
"www.cameroon-info.net","CM","US",173362,"9.4274","0.0015",294126,"0.0026"
"www.cameroon-tribune.cm","CM","US",154198,"9.4274","0.0014",154198,"0.0014"
"www.cameroononline.org","CM","US",152130,"9.4274","0.0013",152131,"0.0013"
"www.cameroonpostline.com","CM","US",40968,"9.4274","0.0004",89567,"0.0008"
"www.cameroonweb.com","CM","US",46436,"9.4274","0.0004",26203,"0.0002"
"www.cameroun-online.com","CM","IT",263461,"9.4274","0.0023",263461,"0.0023"
"www.cameroun24.net","CM","CA",60610,"9.4274","0.0005",60610,"0.0005"
"www.camerounactu.net","CM","BG",14808,"9.4274","0.0001",14808,"0.0001"
"www.camerounlink.net","CM","DE",165646,"9.4274","0.0015",217878,"0.0019"
"www.camnews24.com","CM","DE",70917,"9.4274","0.0006",70917,"0.0006"
"www.journalducameroun.com","CM","FR",236453,"9.4274","0.0021",236453,"0.0021"
"www.lanouvelleexpression.info","CM","US",116533,"9.4274","0.0010",116920,"0.0010"
"www.leffortcamerounais.com","CM","US",143552,"9.4274","0.0013",142498,"0.0013"
"www.leffortcamerounais.info","CM","US",122872,"9.4274","0.0011",122045,"0.0011"
"www.postwatchmagazine.com","CM","US",177662,"9.4274","0.0016",174161,"0.0015"
"liberal.sapo.cv","CV","PT",294074,"5.2879","0.0014",294074,"0.0014"
"noticiasdonorte.publ.cv","CV","US",64739,"5.2879","0.0003",64739,"0.0003"
"www.alfa.cv","CV","US",4669,"5.2879","0.0000",4669,"0.0000"
"www.bravanews.com","CV","US",77051,"5.2879","0.0004",77051,"0.0004"
"www.cabodiario.com","CV","GB",29719,"5.2879","0.0001",29719,"0.0001"
"www.caboverdeonline.com","CV","US",39877,"5.2879","0.0002",39877,"0.0002"
"www.expressodasilhas.sapo.cv","CV","GB",32630,"5.2879","0.0002",32630,"0.0002"
"www.rtc.cv","CV","PT",51448,"5.2879","0.0003",51448,"0.0003"
"www.sapo.cv","CV","PT",117337,"5.2879","0.0006",117337,"0.0006"
"www.djibnet.com","DJ","US",35727,NULL,NULL,35727,NULL
