"domain",mobile_page_size,desktop_page_size,objects_total,diff_mobile,diff_desktop
"silverbirdtv.com",148366,148390,2205964,-2057598,-2057574
"siyimbali.com",58413,58413,690784,-632371,-632371
"slconcordtimes.com",53408,53408,892594,-839186,-839186
"slpublicopinion.wordpress.com",54648,57425,820828,-766180,-763403
"somaliaone.net",112922,112922,1013635,-900713,-900713
"somalilandpress.com",67769,197751,4257673,-4189904,-4059922
"sosanews.com",31100,31590,414124,-383024,-382534
"source.co.zw",123548,123548,1619681,-1496133,-1496133
"southafricatoday.net",57915,196735,930887,-872972,-734152
"southcoastherald.co.za",108385,284795,2062365,-1953980,-1777570
"southcoastsun.co.za",118984,277586,2123525,-2004541,-1845939
"southernafrican.news",129805,128145,884667,-754862,-756522
"southlandssun.co.za",103266,270923,2745024,-2641758,-2474101
"southsudantoday.net",5153,1104,361135,-355982,-360031
"southsudantribune.org",46218,46218,264650,-218432,-218432
"sport.elkhabar.com",288586,288586,8961427,-8672841,-8672841
"sport.ennaharonline.com",227756,227756,590669,-362913,-362913
"sportbrief.co.zw",203206,203206,1728621,-1525415,-1525415
"spr.fm",10933,19160,237693,-226760,-218533
"standardtimespress.org",56534,56534,732627,-676093,-676093
"startvtz.com",31147,31151,302016,-270869,-270865
"stfrancischronicle.com",63270,54361,867690,-804420,-813329
"sthelenaonline.org",110433,110433,1107762,-997329,-997329
"suna-sd.net",72570,72570,7495281,-7422711,-7422711
"sundayexpress.co.ls",101828,101828,1347106,-1245278,-1245278
"sunnewsonline.com",134223,134223,5367095,-5232872,-5232872
"tahrirnews.com",177848,177848,1875003,-1697155,-1697155
"tchadinfos.com",153097,153097,4153311,-4000214,-4000214
"telquel.ma",242605,148574,43,242562,148531
"theabujatimes.com",195681,195463,2001516,-1805835,-1806053
"theadvocatengr.com",82392,82392,8043,74349,74349
"thebftonline.com",33877,33879,2921874,-2887997,-2887995
"thecitizenng.com",181787,181796,1899143,-1717356,-1717347
"theeagleonline.com.ng",177170,177170,818167,-640997,-640997
"theglobenewspaper.blogspot.com",22880,286529,172131,-149251,114398
"theheraldghana.com",42966,42966,1139363,-1096397,-1096397
"theinfrastructurenewsng.com",327,327,328781,-328454,-328454
"theinsider.ug",172770,172770,3187908,-3015138,-3015138
"theinvestigatornews.com",57436,261270,1480663,-1423227,-1219393
"theliberiandialogue.org",58511,58511,936547,-878036,-878036
"theliberiantimes.weebly.com",17534,17534,319289,-301755,-301755
"theneighbourhoodonline.com",283426,283471,104848,178578,178623
"thenewcrusadingguideonline.com",141777,141777,2267356,-2125579,-2125579
"thenewrisingsun.net",28734,28734,6880,21854,21854
"thenews-chronicle.com",87989,87977,1109992,-1022003,-1022015
"thepeoplesvoice.org.zw",83539,83539,553410,-469871,-469871
"thepointernewsonline.com",150719,150721,671650,-520931,-520929
"therainbow.com.ng",32342,32342,259985,-227643,-227643
"thesoutherndaily.co.zw",92642,93207,810763,-718121,-717556
"thesummary.com.ng",46455,47264,91377,-44922,-44113
"theweeklyadvertiser.com",26636,26637,241419,-214783,-214782
"thewillnigeria.com",154503,154503,2592940,-2438437,-2438437
"thezimbabwemail.com",374925,374925,1984799,-1609874,-1609874
"tig.asmarino.com",87821,125272,8833,78988,116439
"timesmediamw.com",192809,192809,1652887,-1460078,-1460078
"togozine.com",322743,322177,2966065,-2643322,-2643888
"tpa.sapo.ao",145868,145729,746564,-600696,-600835
"tv3network.com",126395,126388,2669799,-2543404,-2543411
"tvt.tg",101396,101356,1052739,-951343,-951383
"tvwest.co.ug",171920,171601,2527269,-2355349,-2355668
"ubc.ug",61027,143110,1633007,-1571980,-1489897
"ugandaradionetwork.com",142892,142892,98672,44220,44220
"ukzambians.co.uk",40356,71355,607243,-566887,-535888
"urhobotoday.com",124556,124556,1701924,-1577368,-1577368
"vibeghana.com",93785,93785,789155,-695370,-695370
"victoriafalls24.com",215007,215483,4123456,-3908449,-3907973
"wakteldjazair.com",203661,203661,3387813,-3184152,-3184152
"weekly.ahram.org.eg",59804,59804,2304073,-2244269,-2244269
"wn.com",350913,350913,1559260,-1208347,-1208347
"worldstagegroup.com",589,589,210801,-210212,-210212
"wsrw.org",31156,66274,227792,-196636,-161518
"www.24haubenin.info",52376,52376,210748,-158372,-158372
"www.24hnewspaper.net",9668,57588,1403,8265,56185
"www.3-mob.com",83224,83745,842786,-759562,-759041
"www.5plus.mu",91725,91725,3161084,-3069359,-3069359
"www.702.co.za",52644,52642,413638,-360994,-360996
"www.abamako.com",67190,67190,452702,-385512,-385512
"www.abidjan.net",101115,101115,624229,-523114,-523114
"www.aboutalgeria.com",303785,303786,353686,-49901,-49900
"www.acholitimes.com",65077,65190,1272979,-1207902,-1207789
"www.acotonou.com",62746,62746,437716,-374970,-374970
"www.actsa.org",31945,31945,162454,-130509,-130509
"www.actubenin.com",322522,323217,1425314,-1102792,-1102097
"www.actuel-dz.com",92127,92123,371199,-279072,-279076
"www.actusen.com",245156,245859,1278579,-1033423,-1032720
"www.addisadmassnews.com",52600,52600,717579,-664979,-664979
"www.adiac-congo.com",98901,98901,2079613,-1980712,-1980712
"www.afbis.com",81793,81793,170083,-88290,-88290
"www.africa21digital.com",105678,105678,1700206,-1594528,-1594528
"www.africaguinee.com",206246,206246,11434595,-11228349,-11228349
"www.africanexaminer.com",191016,191136,1878821,-1687805,-1687685
"www.africanheraldexpress.com",39730,39730,452309,-412579,-412579
"www.africapresse.com",108044,108044,1202763,-1094719,-1094719
"www.africasports.net",109084,109084,1139746,-1030662,-1030662
"www.africatoday.co.ao",85448,85448,556246,-470798,-470798
"www.afrik53.com",153512,153512,1169792,-1016280,-1016280
"www.afrol.com",65962,65962,1283351,-1217389,-1217389
"www.agpgabon.ga",23874,23874,1700,22174,22174
"www.ahdath.info",92473,198074,1657493,-1565020,-1459419
"www.ahram.org.eg",406100,406100,1564934,-1158834,-1158834
"www.aib.bf",62252,62252,3073262,-3011010,-3011010
