"domain",mobile_page_size,desktop_page_size,objects_total,diff_mobile,diff_desktop
"www.polity.org.za",23947,81968,131377,-107430,-49409
"www.portalangop.co.ao",82118,82118,877313,-795195,-795195
"www.portaldeangola.com",484444,484444,1387120,-902676,-902676
"www.postwatchmagazine.com",177662,174161,1400615,-1222953,-1226454
"www.potchefstroomherald.co.za",71700,187085,1479450,-1407750,-1292365
"www.premiermedia.sl",32191,32191,347215,-315024,-315024
"www.premiumtimesng.com",333743,333743,1700135,-1366392,-1366392
"www.presse-dz.com",65468,65468,276054,-210586,-210586
"www.promptnewsonline.com",92572,92572,1111684,-1019112,-1019112
"www.punchng.com",91421,91420,853856,-762435,-762436
"www.puntlandpost.com",126183,115477,1167752,-1041569,-1052275
"www.qfmzambia.com",83129,83907,856378,-773249,-772471
"www.quotidienlematin.com",5552,5552,6610,-1058,-1058
"www.qurynanew.com",62960,20245,329991,-267031,-309746
"www.r1.mu",80698,80698,207414,-126716,-126716
"www.radio-kankan.com",169487,169487,3649952,-3480465,-3480465
"www.radioecclesia.org",90394,94826,296988,-206594,-202162
"www.radiogameli.com",74983,74983,584657,-509674,-509674
"www.radiojovem.info",174159,174178,15847323,-15673164,-15673145
"www.radiolagosekofm.net",25987,25987,685438,-659451,-659451
"www.radiolome.tg",235161,235161,2907978,-2672817,-2672817
"www.radiomaria.org.zm",62955,62955,5899751,-5836796,-5836796
"www.radiomuqdisho.net",209153,209153,10848280,-10639127,-10639127
"www.radiondekeluka.org",35463,35463,174373,-138910,-138910
"www.radionigeriakaduna.net",18327,18259,275539,-257212,-257280
"www.radionigerialagos.com",51625,51959,1403410,-1351785,-1351451
"www.radiotunis.com",32237,32237,1166915,-1134678,-1134678
"www.radiovop.com",57504,57536,229583,-172079,-172047
"www.radiowa.org",37158,37159,1876109,-1838951,-1838950
"www.raiamwema.co.tz",33339,210449,698272,-664933,-487823
"www.rapport.co.za",58856,141198,738829,-679973,-597631
"www.rasd-tv.com",22309,26148,201342,-179033,-175194
"www.rayaam.net",62849,69730,329991,-267142,-260261
"www.rba.co.rw",66344,66344,6731134,-6664790,-6664790
"www.realites.com.tn",78844,78846,1547160,-1468316,-1468314
"www.redeangola.info",18854,18876,5277,13577,13599
"www.reflexiondz.net",65892,65893,661783,-595891,-595890
"www.reporters.dz",99259,98654,871077,-771818,-772423
"www.reportghananews.com",43922,49240,738701,-694779,-689461
"www.republikein.com.na",74114,68310,190421,-116307,-122111
"www.risingsunlenasia.co.za",105525,269284,1017283,-911758,-747999
"www.rm.co.mz",83762,83762,6639743,-6555981,-6555981
"www.rnanews.com",25576,25576,440300,-414724,-414724
"www.rpa.bi",162916,162916,1048804,-885888,-885888
"www.rtb.bf",648497,648497,5779636,-5131139,-5131139
"www.rtc.cv",51448,51448,3712094,-3660646,-3660646
"www.rtd.dj",64541,64541,88928,-24387,-24387
"www.rtg-conakry.com",53201,53201,1398403,-1345202,-1345202
"www.rti.ci",7312,7312,62388,-55076,-55076
"www.rts.sn",39858,41011,1065926,-1026068,-1024915
"www.rumeursdabidjan.net",68432,68432,804680,-736248,-736248
"www.rumo.co.ao",114279,114279,1411889,-1297610,-1297610
"www.sabc.co.za",108362,108361,1947787,-1839425,-1839426
"www.sagoodnews.co.za",102782,103615,4450248,-4347466,-4346633
"www.sahara-online.net",97265,96720,93634,3631,3086
"www.sahara-update.org",16432,22331,38243,-21811,-15912
"www.saint.fm",66310,66293,1041659,-975349,-975366
"www.sainthelena.gov.sh",86856,86856,1232065,-1145209,-1145209
"www.sake24.com",85738,194872,769902,-684164,-575030
"www.salonereporter.net",20134,20134,182101,-161967,-161967
"www.salonetoday.com",122305,122305,1070716,-948411,-948411
"www.sapo.ao",113952,113952,1416384,-1302432,-1302432
"www.sapo.cv",117337,117337,1257201,-1139864,-1139864
"www.sapo.mz",110650,110650,1400173,-1289523,-1289523
"www.sbc.sc",26557,26557,174,26383,26383
"www.sen24heures.com",77981,77981,79784,-1803,-1803
"www.sen360.com",202130,202079,7345087,-7142957,-7143008
"www.senenews.com",164027,164027,812150,-648123,-648123
"www.senetoile.net",394283,394283,4462121,-4067838,-4067838
"www.seneweb.com",309131,244946,8089219,-7780088,-7844273
"www.sensornewsonline.com.ng",171316,171164,1353949,-1182633,-1182785
"www.setif.info",32119,32119,368462,-336343,-336343
"www.setif.net",29160,29055,2646,26514,26409
"www.setifnews.com",2244,2244,2127,117,117
"www.seychellesnewsagency.com",12771,28172,383563,-370792,-355391
"www.seychellesweekly.com",83453,83453,229207,-145754,-145754
"www.shabait.com",326904,326904,637048,-310144,-310144
"www.sharpedgenews.com",130027,130027,643653,-513626,-513626
"www.shorouknews.com",52652,110392,1565815,-1513163,-1455423
"www.sidwaya.bf",74585,74585,7129393,-7054808,-7054808
"www.sierraexpressmedia.com",160943,162744,1382502,-1221559,-1219758
"www.sierraherald.com",104647,104647,1083,103564,103564
"www.sierraleonenews.net",24392,24392,1009874,-985482,-985482
"www.sierraleonepress.com",39313,39313,480395,-441082,-441082
"www.sierraleonetimes.com",22811,22811,1020076,-997265,-997265
"www.sis.gov.eg",105416,105416,16202,89214,89214
"www.siwel.info",136524,136525,6830342,-6693818,-6693817
"www.soccer24.co.zw",54948,54947,1729692,-1674744,-1674745
"www.somalilandsun.com",54353,317247,509713,-455360,-192466
"www.souk-ahras.info",32838,32838,29466,3372,3372
"www.southafrica.info",115146,115139,43772,71374,71367
"www.southafrica2day.com",6914,9945,819518,-812604,-809573
"www.southerneye.co.zw",50624,97245,259985,-209361,-162740
"www.southsudannation.com",97971,98105,2524291,-2426320,-2426186
"www.southsudannewsagency.com",5015,5015,49,4966,4966
"www.southsudantoday.net",5157,1104,361154,-355997,-360050
"www.sowetanlive.co.za",211101,211102,63102,147999,148000
"www.sport-ivoire.ci",116705,116705,4928993,-4812288,-4812288
"www.sport24.co.za",115507,150073,177206,-61699,-27133
"www.sportelizabeth.co.za",70440,70440,1510672,-1440232,-1440232
"www.standardmedia.co.ke",93840,74138,741417,-647577,-667279
"www.starducongo.com",303044,303020,2248318,-1945274,-1945298
"www.starpress.info",85499,85499,1004222,-918723,-918723
"www.statehouse.gov.sl",54605,54931,3298614,-3244009,-3243683
"www.stop.co.mz",440774,440774,809630,-368856,-368856
"www.stp-press.st",47541,347471,721615,-674074,-374144
"www.stpdigital.net",138842,138272,909740,-770898,-771468
"www.sudanile.com",15447,15447,60492,-45045,-45045
"www.sudanjem.com",257152,257152,1806683,-1549531,-1549531
"www.sudantribune.com",72968,72968,259238,-186270,-186270
"www.sudantribune.net",116788,116788,196514,-79726,-79726
"www.sudonline.sn",143170,143170,98258,44912,44912
"www.sundaymail.co.zw",182380,182526,2110233,-1927853,-1927707
"www.sundaynews.co.zw",91417,91417,1190696,-1099279,-1099279
"www.sundaystandard.info",105642,105642,2155816,-2050174,-2050174
"www.sunshinecoastexpress.co.za",60584,112386,172065,-111481,-59679
"www.supersport.com",37671,148965,277549,-239878,-128584
"www.switsalone.com",109578,109077,1584222,-1474644,-1475145
"www.talk90point5.co.zm",33213,33213,3969377,-3936164,-3936164
"www.tamtaminfo.com",233880,233872,3707335,-3473455,-3473463
"www.tamurt.info",513478,513478,1987216,-1473738,-1473738
"www.tanzaniatoday.co.tz",364225,364225,37620113,-37255888,-37255888
"www.tbc.go.tz",64515,64515,61356,3159,3159
"www.tchadactuel.com",71832,71832,493002,-421170,-421170
"www.tchadvision.com",277,277,192103,-191826,-191826
"www.technomag.co.zw",133818,133853,2172865,-2039047,-2039012
"www.techtrends.co.zm",165182,165182,12675479,-12510297,-12510297
"www.techzim.co.zw",152867,152853,1833426,-1680559,-1680573
"www.telanon.info",67413,67413,2142062,-2074649,-2074649
"www.tellzim.com",153799,154039,1458548,-1304749,-1304509
"www.temoignages.re",25455,35101,72313,-46858,-37212
"www.the-star.co.ke",173700,151975,1121916,-948216,-969941
"www.theabujainquirer.com",80663,80663,592384,-511721,-511721
"www.theannouncer.co.za",194977,195097,968141,-773164,-773044
"www.thebreakingtimes.com",121248,121092,1317674,-1196426,-1196582
"www.thebugle.co.za",26838,142848,446539,-419701,-303691
"www.thebusinessconnect.co.zw",89919,89921,3310589,-3220670,-3220668
"www.thecable.ng",173505,173505,3321370,-3147865,-3147865
"www.thecitizen.co.tz",94835,94835,44785,50050,50050
"www.theeastafrican.co.ke",117013,117018,668340,-551327,-551322
"www.theenquirerweb.com",23697,23697,135724,-112027,-112027
"www.thegambiaecho.com",205581,205581,2249367,-2043786,-2043786
"www.theheartlander.com",179027,180364,1047976,-868949,-867612
"www.theheraldnews.info",141393,141393,1949604,-1808211,-1808211
"www.theheraldng.com",134568,134899,1372207,-1237639,-1237308
"www.theindependent.co.zw",92144,92143,1777469,-1685325,-1685326
"www.theinfostrides.com",139137,139137,380912,-241775,-241775
"www.theliberianjournal.com",26317,26317,24398,1919,1919
"www.themastonline.com",97515,97515,1852774,-1755259,-1755259
"www.thenewage.co.za",194642,194642,2842350,-2647708,-2647708
"www.thenewdawnliberia.com",1716237,1716237,238524,1477713,1477713
"www.thenewpeople.com",13587,13587,185198,-171611,-171611
"www.thenewslib.com",56092,56092,1645182,-1589090,-1589090
"www.thenewspaper.co.za",262423,263355,1246873,-984450,-983518
"www.thenewswriterng.com",74879,74879,609926,-535047,-535047
"www.thenigerianvoice.com",32790,41055,173414,-140624,-132359
"www.thepalavahut.org",49658,49658,218,49440,49440
"www.thepatriot.co.bw",50840,50840,131424,-80584,-80584
"www.thepatriot.co.zw",174452,174452,3436138,-3261686,-3261686
"www.thepatrioticvanguard.com",37955,37955,2644,35311,35311
"www.theperspective.org",297955,297955,112744,185211,185211
"www.therwandan.com",513906,513906,2254731,-1740825,-1740825
"www.thesierraleonetelegraph.com",385690,385690,1330137,-944447,-944447
"www.thestandard.co.zw",71446,71445,693988,-622542,-622543
"www.thetidenewsonline.com",46486,299988,895781,-849295,-595793
"www.thevillager.com.na",29774,29774,198809,-169035,-169035
"www.thevoicebw.com",228967,228967,1592616,-1363649,-1363649
"www.thezimbabwean.co",90309,90309,759004,-668695,-668695
"www.thezimbabwedaily.com",45964,45963,707489,-661525,-661526
"www.thezimbabwenewslive.com",92671,92671,567697,-475026,-475026
"www.thinkghana.com",32058,31380,51451,-19393,-20071
"www.thisdaylive.com",262376,262739,4410102,-4147726,-4147363
"www.thisissierraleone.com",286800,286660,9846444,-9559644,-9559784
"www.times.co.sz",41351,41351,302704,-261353,-261353
"www.times.co.zm",57668,57668,1370069,-1312401,-1312401
"www.timeslive.co.za",139057,194784,12748,126309,182036
"www.tnrliberia.net",18142,18074,275520,-257378,-257446
"www.togoactualite.com",152547,152547,1636766,-1484219,-1484219
"www.transactiondalgerie.com",32632,32632,1551564,-1518932,-1518932
"www.tribune.com.ng",135478,135478,1442906,-1307428,-1307428
"www.tribunelecteurs.com",174595,174595,864132,-689537,-689537
"www.tripolipost.com",5136,1107,361135,-355999,-360028
"www.tsa-algerie.com",45428,179923,249639,-204211,-69716
"www.tultogo.com",10232,10232,11080,-848,-848
"www.tumfweko.com",93370,93371,818942,-725572,-725571
"www.tunisiadaily.com",315,315,1158882,-1158567,-1158567
"www.tunisiaonlinenews.com",32301,32298,397667,-365366,-365369
"www.tunisiefocus.com",70126,70126,433001,-362875,-362875
"www.tunivisions.net",216332,216332,1484695,-1268363,-1268363
"www.turenchi.com",116274,116274,718557,-602283,-602283
"www.tvcontinental.tv",189877,189877,4569248,-4379371,-4379371
"www.tvm.co.mz",103655,103659,1390980,-1287325,-1287321
"www.tvmada.com",79862,79861,2374554,-2294692,-2294693
"www.tygerburger.co.za",52451,137649,795502,-743051,-657853
"www.ud-news.co.za",59898,111143,172065,-112167,-60922
"www.ugandanews.net",24080,24080,992175,-968095,-968095
"www.umhlanganews.co.za",80017,80017,9815840,-9735823,-9735823
"www.umthunywa.co.zw",82975,82975,1155899,-1072924,-1072924
"www.union.sonapresse.com",140366,140366,6603332,-6462966,-6462966
"www.urhobotimes.com",18165,18097,275520,-257355,-257423
"www.vaalweekblad.com",79348,175084,702028,-622680,-526944
"www.vanguardngr.com",120309,184525,1091657,-971348,-907132
"www.view.com.ng",9197,9298,272664,-263467,-263366
"www.vitrina.st",336388,336388,39803,296585,296585
"www.voandebele.com",66752,66750,121032,-54280,-54282
"www.voaportugues.com",74548,74550,14467406,-14392858,-14392856
"www.voashona.com",62395,62396,58374,4021,4022
"www.voazimbabwe.com",65326,65329,56258,9068,9071
"www.vocfm.co.za",79864,79864,8315046,-8235182,-8235182
"www.voice-of-binkongoh.info",163684,163684,1315607,-1151923,-1151923
"www.volksblad.com",59478,142587,785933,-726455,-643346
"www.walf-groupe.com",37428,345292,270199,-232771,75093
"www.waltainfo.com",73700,73700,1851104,-1777404,-1777404
"www.wardheernews.com",100983,100983,402193,-301210,-301210
"www.watania1.tn",64801,64801,1657101,-1592300,-1592300
"www.wataninet.com",233677,233463,5721588,-5487911,-5488125
"www.weslander.co.za",58905,148109,786286,-727381,-638177
"www.x-news.co.ke",104051,104043,1945591,-1841540,-1841548
"www.yazonaija.com",4933,4933,390590,-385657,-385657
"www.yohaig.com",44531,44531,1011216,-966685,-966685
"www.youm7.com",196649,216989,2110405,-1913756,-1893416
"www.younewsng.com",132431,132431,2019690,-1887259,-1887259
"www.zambiainvest.com",66031,66031,920967,-854936,-854936
"www.zambian-economist.com",37322,117135,177256,-139934,-60121
"www.zambian.com",41097,41097,206117,-165020,-165020
"www.zambianews.net",24124,24124,1019661,-995537,-995537
"www.zambianewsonline.com",277588,277588,1445426,-1167838,-1167838
"www.zambianintelligencenews.com",65002,65004,686758,-621756,-621754
"www.zambianobserver.com",175267,175267,1436932,-1261665,-1261665
"www.zambianpolitics.com",91905,91904,1890180,-1798275,-1798276
"www.zambiawatchdog.com",104188,104188,227360,-123172,-123172
"www.zbc.co.zw",139875,140142,3588031,-3448156,-3447889
"www.zehabesha.com",248792,247487,1056400,-807608,-808913
"www.zenga-mambu.com",149285,149285,1406048,-1256763,-1256763
"www.zimbabwebusinessnews.com",7314,7314,1770,5544,5544
"www.zimbabwelatestnews.net",187150,187150,1489651,-1302501,-1302501
"www.zimbabwenews.net",24282,24282,1017931,-993649,-993649
"www.zimbabwenews.today",49184,49184,303007,-253823,-253823
"www.zimbabwenewsonline.com",70163,70163,1034194,-964031,-964031
"www.zimbabweonlinenews.com",54250,54250,366968,-312718,-312718
"www.zimbabwesituation.com",148294,148294,264006,-115712,-115712
"www.zimbabwestar.com",22776,22776,998336,-975560,-975560
"www.zimbojam.com",155371,155371,1279523,-1124152,-1124152
"www.zimdaily.com",82150,82432,1939303,-1857153,-1856871
"www.zimeye.net",209069,208208,1905596,-1696527,-1697388
"www.zimmetro.com",73438,73438,779945,-706507,-706507
"www.znbc.co.zm",119327,119291,6790679,-6671352,-6671388
"www.zodiakmalawi.com",86553,86553,2493641,-2407088,-2407088
"www.zoutnet.co.za",58630,58630,90055,-31425,-31425
"xalimasn.com",369292,369292,2636824,-2267532,-2267532
"xpresstimes.co.ug",181168,181156,2668601,-2487433,-2487445
"ynaija.com",154296,155983,4637728,-4483432,-4481745
"zambia-times.com",85515,85515,423228,-337713,-337713
"zambia24.com",49336,49336,289594,-240258,-240258
"zambiabusinesstimes.com",257078,257080,7167678,-6910600,-6910598
"zambianewsnetwork.com",41668,41668,1351389,-1309721,-1309721
"zambianeye.com",32883,119966,736952,-704069,-616986
"zambiareports.com",60815,60815,738886,-678071,-678071
"zifmstereo.co.zw",43063,43063,701134,-658071,-658071
"zimbabwe-today.com",113870,113569,2486991,-2373121,-2373422
"zimbabwedigitalnews.com",508641,508641,34130259,-33621618,-33621618
"zimbabweelection.com",82624,82624,1293402,-1210778,-1210778
"zimbabwehub.com",54847,54659,3127058,-3072211,-3072399
"zimbabwenews.co.uk",77998,77997,1348089,-1270091,-1270092
"zimbuzz.co.zw",101378,101378,692871,-591493,-591493
"zimmetro.net",15905,55849,372502,-356597,-316653
"zimnews.net",77382,77382,1231562,-1154180,-1154180
"zimonlinenews.com",212677,212686,2205437,-1992760,-1992751
"zululandobserver.co.za",126576,281240,2205008,-2078432,-1923768
