"domain","cc","geoloc_cc",size_mobile,"price_mobile",size_desktop,"price_desktop"
"isoexpress.co.za","ZA","ZA",61008,"0.0006",112472,"0.0012"
"itvradionigeria.com","NG","US-AZ",185038,"0.0006",185038,"0.0006"
"jamboleonews.blogspot.com","TZ","US-CA",22250,"0.0001",19080,"0.0001"
"joburgeastexpress.co.za","ZA","US",110677,"0.0011",280935,"0.0029"
"jornaldeangola.sapo.ao","AO","PT",78560,"0.0016",78558,"0.0016"
"jornaldeeconomia.sapo.ao","AO","PT",2599,"0.0001",36787,"0.0007"
"jornaldosdesportos.sapo.ao","AO","PT",2575,"0.0001",57124,"0.0011"
"jornalf8.net","AO","PT",166282,"0.0033",166282,"0.0033"
"journal.rdpcpdm.cm","CM","US-CA",275662,"0.0024",275662,"0.0024"
"kabyleuniversel.com","DZ","US-MA",248344,"0.0018",248344,"0.0018"
"kampalasun.co.ug","UG","US-UT",164250,"0.0010",164250,"0.0010"
"kemptonexpress.co.za","ZA","US",109070,"0.0011",294861,"0.0031"
"kfm.co.ug","UG","US-TX",20899,"0.0001",20899,"0.0001"
"krugersdorpnews.co.za","ZA","US",109238,"0.0011",291021,"0.0030"
"kwekwebiz.com","ZW","US-FL",155208,"0.0046",155208,"0.0046"
"ladysmithgazette.co.za","ZA","US",108248,"0.0011",278671,"0.0029"
"laghouatinfo.net","DZ","FR",107078,"0.0008",892554,"0.0063"
"lalternative-togo.com","TG","US-MA",63121,"0.0005",70002,"0.0006"
"landbou.com","ZA","ZA",74129,"0.0008",115110,"0.0012"
"latribunedelacapitale.com","BJ","US-TX",161417,"0.0013",161417,"0.0013"
"lautrefraternite.com","BJ","US-FL",87065,"0.0007",87583,"0.0007"
"lavoixdesidibelabbes.info","DZ","FR",109740,"0.0008",109740,"0.0008"
"leadership.ng","NG","US",234466,"0.0008",234466,"0.0008"
"leboncoin.nu","MU","GB",90502,"0.0006",90502,"0.0006"
"lechiffredaffaires.net","DZ","FR",102207,"0.0007",102207,"0.0007"
"lecitoyendz.com","DZ","US-OK",56933,"0.0004",56933,"0.0004"
"lecombat.info","ML","US-WA",56241,"0.0007",56241,"0.0007"
"leconfrere.info","BJ","FR",69559,"0.0005",69559,"0.0005"
"lecourrier-dalgerie.com","DZ","FR",120623,"0.0009",121098,"0.0009"
"ledaily.mg","MG","US",101837,"0.0007",101837,"0.0007"
"lefaso.net","BF","FR",105999,"0.0008",105999,"0.0008"
"lejournaldaffaire.com","DZ","FR",76844,"0.0005",76838,"0.0005"
"lejournaldemayotte.com","YT","FR",45081,NULL,103745,NULL
"lelynx.net","GQ","US-AZ",48726,NULL,48726,NULL
"lepays.bf","BF","FR",374181,"0.0029",257050,"0.0020"
"lequotidienalgerie.org","DZ","CA-QC",168206,"0.0012",168206,"0.0012"
"lestimes.com","LS","ZA",266190,"0.0022",266194,"0.0022"
"letempstg.com","TG","US-AZ",152608,"0.0012",733375,"0.0058"
"levenementprecis.com","BJ","US-FL",143440,"0.0011",143440,"0.0011"
"lexpressguinee.com","GQ","FR",82988,NULL,82988,NULL
"liberal.sapo.cv","CV","PT",294074,"0.0014",294074,"0.0014"
"lindaikeji.blogspot.com","NG","US-CA",91324,"0.0003",171019,"0.0006"
"lnt.ma","MA","FR",47711,"0.0002",50832,"0.0002"
"lobservateurdumaroc.info","MA","US",140869,"0.0006",140869,"0.0006"
"lowvelder.co.za","ZA","US",118074,"0.0012",289122,"0.0030"
"lusakastar.com","ZM","DE",105056,"0.0016",105056,"0.0016"
"lusakavoice.com","ZM","US",154648,"0.0024",154598,"0.0024"
"majira-hall.blogspot.com","TZ","US-CA",85006,"0.0003",85007,"0.0003"
"malawi24.com","MW","US",33181,"0.0002",60514,"0.0003"
"malawiana.net","MW","US-UT",176625,"0.0010",175655,"0.0009"
"malawilive.com","MW","US-TX",23753,"0.0001",23265,"0.0001"
"maliactu.net","ML","US",130003,"0.0016",130000,"0.0016"
"manicapost.co.zw","ZW","US-UT",206176,"0.0061",208569,"0.0062"
"maravi.blogspot.com","ZM","US-CA",49383,"0.0008",261270,"0.0040"
"maritzburgsun.co.za","ZA","US",110808,"0.0011",275624,"0.0029"
"marocpress.ma","MA","US",143775,"0.0006",144145,"0.0006"
"mauritiustimes.com","MU","US-AZ",77015,"0.0005",77015,"0.0005"
"mayotte.la1ere.fr","YT","EU",203204,NULL,203204,NULL
"mbc.intnet.mu","MU","MU",110276,"0.0008",110276,"0.0008"
"mediamaxnetwork.co.ke","KE","US",197038,"0.0008",184153,"0.0007"
"mg.co.za","ZA","US",158182,"0.0016",165344,"0.0017"
"midrandreporter.co.za","ZA","US",108328,"0.0011",307085,"0.0032"
"monroviainquirer.com","LR","US-IL",134850,"0.0006",134850,"0.0006"
"moroccantimes.com","MA","US-TX",16181,"0.0001",27096,"0.0001"
"moroccomedia.com","MA","US-UT",74403,"0.0003",74403,"0.0003"
"mtanzania.co.tz","TZ","CA-QC",77564,"0.0002",77565,"0.0002"
"mthathaexpress.co.za","ZA","ZA",61008,"0.0006",112474,"0.0012"
"mubasher-misr.aljazeera.net","EG","DE",120469,"0.0002",120469,"0.0002"
"mzalendo.net","TZ","US-MI",96814,"0.0003",96742,"0.0003"
"naijabizcom.com","NG","US-CA",58683,"0.0002",58683,"0.0002"
"nationalmirroronline.net","NG","US-WA",58417,"0.0002",68071,"0.0002"
"nbs.ug","UG","US-CA",211969,"0.0013",211969,"0.0013"
"nehandaradio.com","ZW","US",177984,"0.0052",177037,"0.0052"
"nehandatv.com","ZW","US",88381,"0.0026",88401,"0.0026"
"new.elfagr.org","EG","US",124242,"0.0002",124242,"0.0002"
"newcastleadvertiser.co.za","ZA","US",110744,"0.0011",288589,"0.0030"
