"domain","probe_cc","hosting_cc1","hop_count"
"thesoutherndaily.co.zw","ZW","US",6
"thesummary.com.ng","NG","US",6
"theweekendpost.com","ZA","US",11
"theweeklyadvertiser.com","KE","US",8
"thewillnigeria.com","NG","CA",8
"thezimbabwemail.com","ZW","US",11
"timesmediamw.com","MW","US",8
"togozine.com","TG","US",12
"tpa.sapo.ao","AO","PT",8
"tv3network.com","GH","US",9
"tvt.tg","TG","US",6
"tvwest.co.ug","UG","US",12
"ubc.ug","UG","US",12
"ugandaradionetwork.com","UG","US",7
"ukzambians.co.uk","ZM","NL",9
"urhobotoday.com","NG","US",6
"vibeghana.com","GH","US",7
"victoriafalls24.com","ZW","ZA",6
"wakteldjazair.com","DZ","FR",7
"weekly.ahram.org.eg","EG","EG",4
"wn.com","GH","GB",8
"worldstagegroup.com","NG","US",10
"wpost.co","NG","US",10
"www.24haubenin.info","BJ","FR",7
"www.24hnewspaper.net","EG","US",26
"www.3-mob.com","ZW","US",12
"www.5plus.mu","MU","IE",28
"www.702.co.za","ZA","ZA",14
"www.abidjan.net","CI","US",15
"www.aboutalgeria.com","DZ","US",6
"www.acholitimes.com","UG","US",9
"www.acotonou.com","BJ","US",9
"www.actsa.org","AO","GB",7
"www.actubenin.com","BJ","US",10
"www.actuel-dz.com","DZ","FR",7
"www.actusen.com","SN","FR",5
"www.addisadmassnews.com","ET","US",10
"www.adiac-congo.com","CG","FR",5
"www.afbis.com","NG","US",10
"www.africa21digital.com","AO","BR",11
"www.africanewsposts.com","KE","VG",10
"www.africanexaminer.com","NG","CA",8
"www.africanheraldexpress.com","NG","US",8
"www.africapresse.com","CM","US",43
"www.africatoday.co.ao","AO","IT",9
"www.afrik53.com","CI","FR",12
"www.ahdath.info","MA","US",5
"www.ahram.org.eg","EG","EG",4
"www.aip.ci","CI","FR",11
"www.akaboozi.fm","UG","MU",5
"www.akhbaralyoumsd.net","SD","US",11
"www.akhbarelyoum.dz","DZ","FR",6
"www.akhersaa-dz.com","DZ","FR",6
"www.akwaibomnewsonline.com","NG","US",10
"www.al-fadjr.com","DZ","FR",6
"www.al-jarida.net","MA","US",10
"www.alalam.ma","MA","FR",9
"www.alaroyeonline.com","NG","US",8
"www.albassair.org","DZ","DE",6
"www.alfa.cv","CV","US",10
"www.alger-republicain.com","DZ","FR",7
"www.algerep.com","DZ","FR",7
"www.algeria-newspapers.com","DZ","US",7
"www.algeria-watch.org","DZ","DE",6
"www.algeriatimes.net","DZ","US",9
"www.algerie-focus.com","DZ","DE",6
"www.algerie1.com","DZ","US",5
"www.algerie360.com","DZ","US",5
"www.algerieconfluences.com","DZ","US",8
"www.algeriepatriotique.com","DZ","US",5
"www.algomhuria.net.eg","EG","EG",2
"www.allghananews.com","GH","US",30
"www.allnigeriasoccer.com","NG","US",9
"www.almaghribia.ma","MA","US",5
"www.almasryalyoum.com","EG","US",6
"www.almassaepress.com","MA","US",6
"www.almessa.net.eg","EG","US",21
"www.almizan.info","NG","US",6
"www.almshaheer.com","SD","DE",9
"www.alome.com","TG","US",11
"www.alsahafa.info","SD","US",9
"www.alwafd.org","EG","US",5
"www.alwatanalarabi.com","EG","US",6
"www.amalawi.info","MW","DE",6
"www.angola24horas.com","AO","BR",8
"www.angolaglobal.net","AO","CA",9
"www.angolaglobal.net","AO","FR",7
"www.angolaglobal.net","AO","NL",7
"www.angolaglobal.net","AO","US",7
"www.angonoticias.com","AO","PT",9
"www.ann7.com","ZA","ZA",7
"www.annabacity.net","DZ","FR",4
"www.annasronline.com","DZ","FR",7
"www.antennereunion.fr","RE","FR",6
"www.antennereunion.fr","RE","RE",5
"www.aproko247.com","NG","US",7
"www.aps.dz","DZ","US",6
"www.aps.sn","SN","FR",7
"www.arenebi.com","SN","CA",8
"www.arewaonline-ng.com","NG","US",8
"www.arib.info","BI","FR",4
"www.arushatimes.co.tz","TZ","SE",9
"www.asdae.com","MA","DE",8
"www.assabah.com.tn","TN","FR",10
"www.assabah.press.ma","MA","US",5
"www.atoo.ci","CI","FR",16
"www.attounissia.com.tn","TN","DE",8
"www.au-senegal.com","SN","FR",7
